epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
116,32271.2,0.98863,0.63875,1.10557,0.82919,0.75591,0.82859,0.51484,1.02906,0.7951,1.02081,0.0129225,0.0043075,0.0129225,0.0043075,0.0129225,0.0043075,0.0129225,0.0043075
117,32656.3,0.98977,0.65507,1.10144,0.83346,0.75318,0.82845,0.51535,1.02895,0.7915,1.02064,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
118,33042.9,0.97967,0.64418,1.09733,0.83721,0.74926,0.82833,0.51527,1.02889,0.78838,1.02056,0.0126255,0.0042085,0.0126255,0.0042085,0.0126255,0.0042085,0.0126255,0.0042085
119,33429.1,0.97187,0.62649,1.09678,0.83555,0.74958,0.82778,0.51518,1.02857,0.78625,1.02007,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
120,33814.4,0.97054,0.63721,1.09347,0.8323,0.75222,0.82809,0.51547,1.02826,0.78352,1.02012,0.0123285,0.0041095,0.0123285,0.0041095,0.0123285,0.0041095,0.0123285,0.0041095
121,34200,0.9714,0.62425,1.08801,0.83289,0.74996,0.82735,0.51586,1.0284,0.78023,1.0203,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
122,34585.9,0.96879,0.61763,1.08649,0.833,0.7497,0.82629,0.51603,1.02782,0.7775,1.0202,0.0120315,0.0040105,0.0120315,0.0040105,0.0120315,0.0040105,0.0120315,0.0040105
123,34971,0.95491,0.61294,1.08491,0.83119,0.75334,0.82653,0.5164,1.02787,0.77483,1.02025,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
124,35354.8,0.95716,0.62908,1.09113,0.8316,0.75334,0.82669,0.51618,1.02711,0.773,1.01985,0.0117345,0.0039115,0.0117345,0.0039115,0.0117345,0.0039115,0.0117345,0.0039115
125,35732.9,0.94382,0.61474,1.08034,0.83231,0.75517,0.82663,0.51682,1.02759,0.76959,1.02064,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
126,36106.3,0.93896,0.60835,1.07485,0.83019,0.7565,0.82705,0.51686,1.02757,0.76673,1.02079,0.0114375,0.0038125,0.0114375,0.0038125,0.0114375,0.0038125,0.0114375,0.0038125
127,36481.7,0.94609,0.60681,1.08353,0.82889,0.75664,0.82692,0.51664,1.02684,0.76362,1.02014,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
128,36861.5,0.9365,0.60144,1.07568,0.82923,0.7566,0.82721,0.517,1.02665,0.76102,1.02012,0.0111405,0.0037135,0.0111405,0.0037135,0.0111405,0.0037135,0.0111405,0.0037135
129,37246,0.93695,0.60786,1.0762,0.83266,0.75704,0.82826,0.51685,1.02659,0.75745,1.02045,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
130,37631.7,0.94182,0.60554,1.07196,0.83152,0.75677,0.82789,0.51681,1.02628,0.7553,1.02026,0.0108435,0.0036145,0.0108435,0.0036145,0.0108435,0.0036145,0.0108435,0.0036145
131,38016.8,0.93016,0.60378,1.0678,0.83639,0.7534,0.82826,0.5169,1.02643,0.75179,1.0206,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
132,38404.9,0.91634,0.59074,1.06936,0.83625,0.75225,0.82805,0.51657,1.02744,0.74962,1.02169,0.0105465,0.0035155,0.0105465,0.0035155,0.0105465,0.0035155,0.0105465,0.0035155
