epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
62,40484.5,0.41832,0.40652,0.18189,0.81809,0.77505,0.8087,0.47148,0.29636,0.46146,0.19902,0.00411857,0.00137286,0.00411857,0.00137286,0.00411857,0.00137286,0.00411857,0.00137286
63,41128.3,0.4247,0.40708,0.18036,0.83259,0.76634,0.80614,0.47205,0.29715,0.44514,0.1994,0.00369429,0.00123143,0.00369429,0.00123143,0.00369429,0.00123143,0.00369429,0.00123143
64,41773.8,0.39996,0.39451,0.1704,0.83007,0.76985,0.80588,0.4722,0.29792,0.43863,0.20046,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
65,42423,0.38609,0.38418,0.16327,0.82483,0.77556,0.80808,0.47308,0.29723,0.43358,0.19927,0.00284571,0.000948571,0.00284571,0.000948571,0.00284571,0.000948571,0.00284571,0.000948571
66,689.812,0.60457,0.50091,0.24167,0.82956,0.77087,0.80712,0.4733,0.29601,0.44171,0.19811,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825
67,1361.32,0.58483,0.50047,0.23721,0.82913,0.77353,0.81142,0.47556,0.29448,0.44208,0.19761,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
68,2031.82,0.58236,0.50977,0.24094,0.82596,0.77123,0.81332,0.4767,0.29294,0.44835,0.19526,0.0200505,0.0066835,0.0200505,0.0066835,0.0200505,0.0066835,0.0200505,0.0066835
69,2702.48,0.57823,0.51881,0.23675,0.82732,0.7733,0.81447,0.47859,0.29096,0.45166,0.19296,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
70,3373.56,0.57408,0.5059,0.23282,0.82395,0.77561,0.815,0.47945,0.29057,0.45391,0.19313,0.0197535,0.0065845,0.0197535,0.0065845,0.0197535,0.0065845,0.0197535,0.0065845
71,4045.8,0.58591,0.51187,0.23458,0.82521,0.77296,0.81558,0.47974,0.29085,0.4544,0.19071,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
72,665.069,0.55022,0.45144,0.2026,0.83101,0.76962,0.81522,0.4801,0.29008,0.45518,0.19056,0.0194565,0.0064855,0.0194565,0.0064855,0.0194565,0.0064855,0.0194565,0.0064855
73,1319.01,0.57797,0.49983,0.22937,0.83095,0.76784,0.81501,0.48022,0.28976,0.453,0.19002,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
74,1970.88,0.57991,0.49297,0.22616,0.82043,0.77218,0.81542,0.48022,0.28839,0.45153,0.19006,0.0191595,0.0063865,0.0191595,0.0063865,0.0191595,0.0063865,0.0191595,0.0063865
75,2621.64,0.56353,0.50387,0.23313,0.82226,0.77161,0.81517,0.48065,0.28798,0.44933,0.18922,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
76,3272.52,0.58883,0.50337,0.24097,0.82032,0.77372,0.81363,0.48084,0.28835,0.44841,0.19054,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875
77,3925.55,0.57782,0.50381,0.23846,0.81665,0.77649,0.81445,0.48055,0.28796,0.4496,0.19072,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
78,4578.37,0.57815,0.50473,0.24167,0.81981,0.77643,0.81388,0.48043,0.28782,0.45015,0.1893,0.0185655,0.0061885,0.0185655,0.0061885,0.0185655,0.0061885,0.0185655,0.0061885
79,5233.38,0.59883,0.50384,0.2382,0.81774,0.77584,0.81322,0.48009,0.28789,0.44923,0.18951,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
80,5886.44,0.58987,0.50936,0.23123,0.81729,0.7743,0.8117,0.47982,0.28735,0.44913,0.18855,0.0182685,0.0060895,0.0182685,0.0060895,0.0182685,0.0060895,0.0182685,0.0060895
81,6541.04,0.57393,0.50468,0.2327,0.81857,0.77583,0.81373,0.48024,0.28673,0.4487,0.18844,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
82,7196.81,0.61004,0.51612,0.24356,0.81579,0.7734,0.81109,0.4789,0.2869,0.44989,0.189,0.0179715,0.0059905,0.0179715,0.0059905,0.0179715,0.0059905,0.0179715,0.0059905
83,7851.4,0.5585,0.49507,0.22894,0.81756,0.77288,0.81052,0.47851,0.28705,0.44934,0.18846,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
84,8511.6,0.55972,0.5066,0.22975,0.81612,0.77392,0.8117,0.47828,0.28717,0.44723,0.18986,0.0176745,0.0058915,0.0176745,0.0058915,0.0176745,0.0058915,0.0176745,0.0058915
85,9165.87,0.55122,0.48749,0.22131,0.81518,0.77478,0.8108,0.47713,0.2864,0.44718,0.18779,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
86,9821.11,0.56439,0.49957,0.2262,0.81799,0.77506,0.81018,0.47648,0.28667,0.44361,0.18746,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925
87,10475,0.57737,0.49486,0.23309,0.81642,0.77349,0.80879,0.47541,0.28761,0.44338,0.18788,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
88,11130.3,0.56479,0.5011,0.22956,0.81547,0.77686,0.80945,0.47455,0.28778,0.44146,0.18824,0.0170805,0.0056935,0.0170805,0.0056935,0.0170805,0.0056935,0.0170805,0.0056935
89,11785.5,0.53852,0.49324,0.22224,0.8152,0.77605,0.80926,0.47481,0.28789,0.43992,0.18825,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
90,12439.7,0.54158,0.48415,0.21676,0.8155,0.77768,0.80942,0.47567,0.28794,0.43832,0.1884,0.0167835,0.0055945,0.0167835,0.0055945,0.0167835,0.0055945,0.0167835,0.0055945
91,13094.6,0.57314,0.49431,0.2291,0.81742,0.77638,0.80905,0.47567,0.28766,0.44016,0.18753,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
92,13750,0.56503,0.49547,0.22407,0.818,0.77636,0.80908,0.47471,0.28803,0.43953,0.1877,0.0164865,0.0054955,0.0164865,0.0054955,0.0164865,0.0054955,0.0164865,0.0054955
93,14404.4,0.56211,0.48755,0.21881,0.81746,0.77401,0.80888,0.47491,0.2886,0.43649,0.18808,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
94,15059.7,0.53083,0.48233,0.21742,0.81463,0.77339,0.80894,0.47513,0.28861,0.43663,0.1883,0.0161895,0.0053965,0.0161895,0.0053965,0.0161895,0.0053965,0.0161895,0.0053965
95,15710,0.54718,0.47942,0.21742,0.81456,0.77388,0.80954,0.47668,0.28708,0.43567,0.18728,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
96,16361.6,0.52862,0.47456,0.21072,0.81517,0.77323,0.80911,0.47707,0.2872,0.43378,0.1874,0.0158925,0.0052975,0.0158925,0.0052975,0.0158925,0.0052975,0.0158925,0.0052975
97,17016.2,0.5529,0.47608,0.21019,0.81707,0.7698,0.80842,0.47589,0.28744,0.43665,0.18767,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
98,17672.3,0.53443,0.4879,0.21252,0.81845,0.77199,0.8089,0.47586,0.28783,0.43267,0.18815,0.0155955,0.0051985,0.0155955,0.0051985,0.0155955,0.0051985,0.0155955,0.0051985
99,18328.7,0.53143,0.48454,0.21872,0.81939,0.76952,0.80809,0.47519,0.28804,0.43317,0.18829,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
100,18983.7,0.50218,0.48659,0.21149,0.81469,0.77128,0.80825,0.47383,0.28932,0.43139,0.18852,0.0152985,0.0050995,0.0152985,0.0050995,0.0152985,0.0050995,0.0152985,0.0050995
101,19638.3,0.49052,0.48681,0.20744,0.81212,0.7704,0.80756,0.47172,0.29168,0.42973,0.1886,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
102,20293.1,0.45498,0.47596,0.2043,0.81133,0.76888,0.80726,0.47053,0.29291,0.42766,0.18848,0.0150015,0.0050005,0.0150015,0.0050005,0.0150015,0.0050005,0.0150015,0.0050005
103,20948.8,0.46537,0.47729,0.20038,0.81097,0.77057,0.80762,0.46869,0.29565,0.42422,0.18938,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
104,21603,0.45648,0.47197,0.19965,0.80832,0.77078,0.80391,0.46479,0.29921,0.4211,0.18994,0.0147045,0.0049015,0.0147045,0.0049015,0.0147045,0.0049015,0.0147045,0.0049015
105,22256.3,0.47215,0.4783,0.19876,0.81426,0.76441,0.80527,0.46204,0.30376,0.4178,0.19093,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
106,22910.8,0.44241,0.45647,0.19359,0.81472,0.76539,0.80479,0.45897,0.30687,0.41737,0.19054,0.0144075,0.0048025,0.0144075,0.0048025,0.0144075,0.0048025,0.0144075,0.0048025
107,23566.6,0.45893,0.46639,0.19147,0.81876,0.75642,0.80371,0.45594,0.30947,0.41562,0.191,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
108,24221.6,0.4987,0.47701,0.20944,0.82012,0.75517,0.80119,0.45233,0.31373,0.41189,0.19176,0.0141105,0.0047035,0.0141105,0.0047035,0.0141105,0.0047035,0.0141105,0.0047035
109,24876.2,0.51558,0.46523,0.20801,0.8162,0.75001,0.79703,0.44586,0.32155,0.40807,0.19285,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
110,25528.4,0.44359,0.44747,0.18835,0.81524,0.738,0.79241,0.43928,0.32765,0.40488,0.19403,0.0138135,0.0046045,0.0138135,0.0046045,0.0138135,0.0046045,0.0138135,0.0046045
111,26182.1,0.53599,0.46533,0.21799,0.81694,0.73074,0.78799,0.43506,0.33118,0.40171,0.19481,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
112,26834.6,0.42868,0.45,0.18924,0.81533,0.72436,0.78507,0.42987,0.33593,0.39797,0.19568,0.0135165,0.0045055,0.0135165,0.0045055,0.0135165,0.0045055,0.0135165,0.0045055
113,27485.4,0.43044,0.45001,0.18394,0.81318,0.7245,0.78465,0.42764,0.33824,0.39731,0.19588,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
114,28136.1,0.47942,0.46632,0.20045,0.81292,0.71753,0.78018,0.42225,0.34291,0.39591,0.19631,0.0132195,0.0044065,0.0132195,0.0044065,0.0132195,0.0044065,0.0132195,0.0044065
115,28789.7,0.41522,0.45271,0.18145,0.82074,0.70769,0.77594,0.41619,0.34708,0.39674,0.19734,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
116,29444.7,0.46547,0.45056,0.19157,0.81549,0.69643,0.76567,0.40714,0.35603,0.39237,0.19902,0.0129225,0.0043075,0.0129225,0.0043075,0.0129225,0.0043075,0.0129225,0.0043075
