epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
51,14901.7,1.31538,1.03453,1.27231,0.7654,0.72094,0.78681,0.46332,1.35427,1.25871,1.25149,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
52,15193.7,1.31627,1.03335,1.27218,0.77713,0.71195,0.785,0.46544,1.35239,1.22572,1.25386,0.0224265,0.0074755,0.0224265,0.0074755,0.0224265,0.0074755,0.0224265,0.0074755
53,15485.2,1.3156,1.03637,1.27167,0.76844,0.72098,0.78813,0.46802,1.34219,1.26127,1.24798,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
54,15776.1,1.30568,1.02131,1.26712,0.7827,0.71409,0.79064,0.4707,1.3428,1.26625,1.24756,0.0221295,0.0073765,0.0221295,0.0073765,0.0221295,0.0073765,0.0221295,0.0073765
55,16063.8,1.30023,1.02618,1.26039,0.77235,0.72844,0.79267,0.47046,1.35269,1.22364,1.25189,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
56,16352.9,1.2971,1.00102,1.25988,0.77639,0.72296,0.79454,0.47179,1.34689,1.18909,1.24744,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775
57,16642.2,1.28933,1.00498,1.2548,0.77349,0.72626,0.79391,0.47305,1.34412,1.14667,1.24644,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
58,340.842,1.28227,0.97651,1.24883,0.7799,0.72594,0.7947,0.47366,1.34318,1.07974,1.24652,0.0215355,0.0071785,0.0215355,0.0071785,0.0215355,0.0071785,0.0215355,0.0071785
59,672.235,1.293,1.00036,1.25243,0.78199,0.72914,0.79529,0.47377,1.3453,1.07098,1.24719,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
60,979.789,1.30087,1.00374,1.25875,0.78671,0.72416,0.79665,0.47525,1.34332,1.04933,1.2452,0.0212385,0.0070795,0.0212385,0.0070795,0.0212385,0.0070795,0.0212385,0.0070795
61,1286.89,1.29263,0.98622,1.26394,0.78696,0.72234,0.79658,0.47583,1.33872,1.06197,1.24162,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
62,1597.49,1.29041,0.9878,1.24958,0.78529,0.7259,0.79641,0.47593,1.3403,1.06548,1.2434,0.0209415,0.0069805,0.0209415,0.0069805,0.0209415,0.0069805,0.0209415,0.0069805
63,1903.65,1.27581,0.98082,1.24885,0.79189,0.72757,0.79729,0.47795,1.3379,1.06048,1.24213,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
64,2211.69,1.27634,1.00863,1.24628,0.7841,0.73489,0.79979,0.4779,1.33641,1.06876,1.24006,0.0206445,0.0068815,0.0206445,0.0068815,0.0206445,0.0068815,0.0206445,0.0068815
65,2526.44,1.28139,0.97781,1.24764,0.78946,0.7294,0.8002,0.47832,1.33789,1.05275,1.24212,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
66,2838.11,1.27718,0.9687,1.24215,0.79249,0.73586,0.80209,0.47806,1.33637,1.04808,1.24093,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825
67,3151.64,1.27035,0.97131,1.24612,0.79299,0.73321,0.80117,0.47885,1.33243,1.03431,1.23951,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
68,3466.43,1.2695,0.95471,1.24058,0.79201,0.73272,0.80153,0.4791,1.33089,1.03288,1.23931,0.0200505,0.0066835,0.0200505,0.0066835,0.0200505,0.0066835,0.0200505,0.0066835
69,3778.25,1.26,0.99496,1.23621,0.80128,0.72697,0.80145,0.47917,1.32715,1.02603,1.23676,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
70,4084.89,1.26448,0.94942,1.23502,0.79534,0.72541,0.80125,0.47958,1.32805,1.01811,1.23678,0.0197535,0.0065845,0.0197535,0.0065845,0.0197535,0.0065845,0.0197535,0.0065845
71,4391.95,1.26719,0.95444,1.23894,0.79486,0.72959,0.80305,0.48103,1.32612,1.00814,1.23774,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
72,4700.1,1.2506,0.94074,1.2273,0.79021,0.73072,0.80178,0.48079,1.32733,1.00293,1.24008,0.0194565,0.0064855,0.0194565,0.0064855,0.0194565,0.0064855,0.0194565,0.0064855
73,5007.25,1.27023,0.95546,1.23694,0.79264,0.7296,0.80183,0.48142,1.32674,1.00369,1.24079,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
74,5336.21,1.24943,0.93346,1.22751,0.79667,0.72681,0.80124,0.48208,1.326,1.00706,1.23968,0.0191595,0.0063865,0.0191595,0.0063865,0.0191595,0.0063865,0.0191595,0.0063865
75,5663.39,1.25566,0.94139,1.23009,0.79949,0.72555,0.80179,0.48199,1.32735,1.00984,1.24135,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
76,5979.01,1.25019,0.93457,1.22795,0.80931,0.71746,0.80093,0.48218,1.32664,1.00817,1.24191,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875
77,6288.51,1.25269,0.93153,1.22847,0.81024,0.71551,0.80133,0.48178,1.32575,1.00603,1.24108,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
78,6595.25,1.24481,0.92516,1.22442,0.79213,0.72973,0.8018,0.48179,1.32664,1.0031,1.24257,0.0185655,0.0061885,0.0185655,0.0061885,0.0185655,0.0061885,0.0185655,0.0061885
79,6911.4,1.25519,0.92562,1.22795,0.79743,0.72577,0.80158,0.48248,1.32679,1.00252,1.24373,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
80,7237.78,1.23813,0.91232,1.21153,0.79398,0.72836,0.80115,0.48285,1.32673,1.00467,1.24351,0.0182685,0.0060895,0.0182685,0.0060895,0.0182685,0.0060895,0.0182685,0.0060895
81,7560.13,1.25064,0.91246,1.23189,0.79877,0.72795,0.80112,0.48352,1.32579,1.00544,1.24257,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
82,7890.7,1.22435,0.90451,1.21226,0.8,0.72751,0.80139,0.48375,1.32486,1.00192,1.24161,0.0179715,0.0059905,0.0179715,0.0059905,0.0179715,0.0059905,0.0179715,0.0059905
83,8225.08,1.23382,0.90273,1.21271,0.80359,0.72368,0.80196,0.48372,1.32454,0.99532,1.24102,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
84,8555.47,1.2284,0.90488,1.21435,0.80331,0.72529,0.80207,0.48428,1.32528,0.99319,1.24179,0.0176745,0.0058915,0.0176745,0.0058915,0.0176745,0.0058915,0.0176745,0.0058915
85,8890.36,1.21829,0.88649,1.20424,0.80098,0.7265,0.80263,0.48412,1.32724,0.99137,1.24357,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
86,9221.79,1.22307,0.88991,1.20541,0.80132,0.72528,0.80236,0.48447,1.32724,0.99526,1.24354,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925
87,9554.33,1.22486,0.88475,1.20775,0.8024,0.72354,0.80246,0.48473,1.3293,0.98944,1.2457,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
88,9870.92,1.22796,0.89614,1.21371,0.80403,0.72331,0.8028,0.4852,1.32958,0.99014,1.2459,0.0170805,0.0056935,0.0170805,0.0056935,0.0170805,0.0056935,0.0170805,0.0056935
89,10187.9,1.21974,0.88728,1.20056,0.801,0.72765,0.80327,0.48505,1.32905,0.99027,1.24519,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
90,10506,1.2236,0.87578,1.21217,0.80115,0.72702,0.80277,0.48521,1.32827,0.98756,1.24433,0.0167835,0.0055945,0.0167835,0.0055945,0.0167835,0.0055945,0.0167835,0.0055945
91,10820.2,1.20807,0.8725,1.19613,0.80294,0.72735,0.80287,0.48486,1.32784,0.98426,1.24362,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
92,11133.3,1.21485,0.88162,1.20041,0.80033,0.72841,0.8037,0.48514,1.32796,0.98214,1.24384,0.0164865,0.0054955,0.0164865,0.0054955,0.0164865,0.0054955,0.0164865,0.0054955
93,11439.3,1.19931,0.86881,1.19309,0.79837,0.73007,0.80256,0.48527,1.32769,0.98026,1.2439,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
94,11754.3,1.20139,0.85858,1.1887,0.79921,0.73039,0.80317,0.48576,1.32816,0.97849,1.24414,0.0161895,0.0053965,0.0161895,0.0053965,0.0161895,0.0053965,0.0161895,0.0053965
95,12063.5,1.19762,0.86758,1.19558,0.79754,0.72985,0.80276,0.48634,1.32747,0.97517,1.24379,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
96,12367.1,1.20531,0.86503,1.18636,0.79769,0.73006,0.80296,0.48662,1.32657,0.97267,1.2423,0.0158925,0.0052975,0.0158925,0.0052975,0.0158925,0.0052975,0.0158925,0.0052975
